titulo,precio,lanzamiento,clasificacion,multijugador,nombre,fecha_lanzamiento,exclusivo,calificacion_media
Armored Core: Formula Front - Extreme Battle,99.93,2016-01-21,M (Mature),True,Estrategia,2019-04-11,True,2.05
Puyo Pop Fever,94.27,2019-01-27,E (Everyone),True,RPG,2020-03-27,False,1.63
Mario Kart DS,31.56,2020-06-11,AO (Adults Only),False,MMORPG,2019-06-10,True,2.44
Nintendogs,40.97,2016-06-21,AO (Adults Only),False,MMORPG,2023-07-22,True,3.93
Brain Age: Train Your Brain in Minutes a Day!,78.11,2015-10-12,EC (Early Childhood),True,MOBA,2018-11-09,False,1.75
Brain Agey: More Training in Minutes a Day!,70.42,2022-05-08,T (Teen),True,Aventura,2021-07-24,False,1.91
Grand Theft Auto: Liberty City Stories,36.9,2016-11-11,EC (Early Childhood),True,Action,2022-11-01,False,1.82
Animal Crossing: Wild World,67.4,2018-04-01,AO (Adults Only),True,MMORPG,2016-09-26,True,2.47
Big Brain Academy,76.4,2023-12-09,T (Teen),True,Multiplayer,2023-12-11,True,4.93
Call of Duty 2,82.29,2023-06-15,M (Mature),True,Action,2015-01-05,True,2.46
Midnight Club 3: DUB Edition,48.44,2021-01-07,RP (Rating Pending),True,MMORPG,2022-08-21,False,3.19
Need for Speed: Most Wanted 5-1-0,87.83,2021-11-25,T (Teen),False,FPS,2015-01-18,False,1.13
Pokmon Mystery Dungeon: Blue Rescue Team,71.37,2017-10-05,E (Everyone),True,Action,2019-03-22,True,1.91
Sonic Rush,29.55,2018-09-24,RP (Rating Pending),False,FPS,2015-07-03,False,2.79
Star Wars: Battlefront II,68.64,2019-02-17,M (Mature),False,Estrategia,2021-06-29,False,3.5
SOCOM: U.S. Navy SEALs - Fireteam Bravo,89.9,2017-06-20,E (Everyone),False,Estrategia,2015-06-26,True,1.27
Need for Speed: Most Wanted,59.7,2020-04-07,EC (Early Childhood),True,Estrategia,2018-06-06,True,3.01
Zoo Tycoon DS,82.17,2015-08-06,EC (Early Childhood),True,Action,2015-10-06,True,1.63
The Sims 2,80.07,2015-07-26,AO (Adults Only),False,Action,2017-04-17,False,4.03
Mario & Luigi: Partners in Time,68.13,2018-09-17,AO (Adults Only),False,FPS,2015-03-30,False,1.57
Madden NFL 06,70.03,2015-01-26,M (Mature),True,Action,2019-02-23,True,1.35
Need for Speed Underground: Rivals,56.89,2015-12-11,EC (Early Childhood),False,RPG,2016-05-06,False,3.54
Twisted Metal: Head-On,25.32,2015-11-30,AO (Adults Only),True,Aventura,2014-06-14,False,4.59
Perfect Dark Zero,86.81,2014-08-19,RP (Rating Pending),True,Multiplayer,2023-06-13,False,1.92
Super Monkey Ball: Touch & Roll,66.78,2022-06-25,E10+ (Everyone 10 and Older),False,Multiplayer,2020-11-01,True,3.73
Super Princess Peach,43.75,2022-10-04,E (Everyone),True,MMORPG,2018-03-15,False,3.87
Burnout Legends,15.22,2014-11-23,RP (Rating Pending),False,MOBA,2024-02-26,False,1.63
Madden NFL 06,16.06,2023-03-04,RP (Rating Pending),False,MMORPG,2016-01-09,False,3.35
Clubhouse Games,34.64,2021-06-21,EC (Early Childhood),True,Multiplayer,2018-07-01,False,2.04
ATV Offroad Fury: Blazin' Trails,27.2,2017-09-01,AO (Adults Only),False,Action,2021-03-03,False,1.74
Untold Legends: Brotherhood of the Blade,41.63,2023-04-10,RP (Rating Pending),True,MMORPG,2019-11-10,True,4.5
Tony Hawk's Underground 2: Remix,83.77,2022-10-27,E (Everyone),True,MMORPG,2015-09-08,False,3.2
The Sims 2,53.63,2016-01-18,M (Mature),True,Multiplayer,2015-02-15,False,4.08
WipEout Pure,63.61,2020-09-08,AO (Adults Only),True,FPS,2015-05-01,False,2.58
NBA Live 06,58.4,2020-10-22,T (Teen),False,MOBA,2016-05-17,True,3.2
WWE Smackdown vs. Raw 2006,80.73,2021-12-15,EC (Early Childhood),False,Multiplayer,2019-10-14,True,1.91
Dead or Alive 4,51.56,2017-12-10,E10+ (Everyone 10 and Older),False,Aventura,2020-08-11,False,1.12
Phoenix Wright: Ace Attorney,57.79,2016-06-30,M (Mature),False,MMORPG,2023-12-19,True,1.7
Spider-Man 2,90.71,2016-03-26,EC (Early Childhood),True,FPS,2022-04-05,True,2.32
NFL Street 2,84.37,2015-06-20,E (Everyone),False,MOBA,2015-04-11,True,2.04
Kirby: Canvas Curse,30.15,2024-02-09,EC (Early Childhood),False,FPS,2022-01-23,False,3.75
Battlefield 2: Modern Combat,10.41,2017-10-05,E (Everyone),True,Aventura,2020-07-13,True,3.75
Yoshi Touch & Go,41.39,2023-11-30,AO (Adults Only),False,RPG,2014-10-10,False,3.49
Tiger Woods PGA Tour 06,31.71,2021-05-12,EC (Early Childhood),False,RPG,2023-12-01,True,4.88
Condemned: Criminal Origins,64.43,2022-12-10,E (Everyone),True,Action,2018-07-26,True,1.81
Peter Jackson's King Kong: The Official Game of...,21.58,2020-03-06,AO (Adults Only),False,MOBA,2022-05-18,False,4.96
Castlevania: Dawn of Sorrow,86.69,2022-06-03,RP (Rating Pending),False,Aventura,2016-11-03,True,3.6
SpongeBob SquarePants: The Yellow Avenger,34.63,2016-07-31,RP (Rating Pending),True,MMORPG,2019-07-25,True,4.98
Marvel Nemesis: Rise of the Imperfects ,99.37,2023-06-21,E (Everyone),False,Estrategia,2019-01-26,False,3.98
Kameo: Elements of Power,63.47,2018-07-06,EC (Early Childhood),True,MMORPG,2018-11-22,False,2.77
Advance Wars: Dual Strike,18.07,2019-01-31,AO (Adults Only),False,FPS,2016-03-05,True,4.73
Trauma Center: Under the Knife,16.75,2020-02-24,AO (Adults Only),True,Aventura,2016-08-06,True,3.49
Coded Arms,79.34,2014-06-05,T (Teen),False,Action,2021-09-12,True,4.31
NBA LIVE 06 ,27.21,2022-02-09,T (Teen),False,Aventura,2014-10-23,False,2.45
Tony Hawk's American Wasteland,11.6,2016-05-16,EC (Early Childhood),True,MMORPG,2022-08-13,True,1.96
Star Wars: Episode III - Revenge of the Sith,81.25,2022-09-26,EC (Early Childhood),False,FPS,2020-02-16,True,3.69
Capcom Classics Collection Remixed,34.98,2021-09-17,E10+ (Everyone 10 and Older),False,Estrategia,2017-08-29,True,4.4
Madagascar,69.5,2021-06-01,AO (Adults Only),True,Aventura,2020-07-08,False,4.14
X-Men: Legends II - Rise of Apocalypse,38.99,2023-09-19,EC (Early Childhood),True,Estrategia,2015-05-20,False,4.3
Quake 4,98.23,2021-06-03,M (Mature),False,Aventura,2017-06-01,False,1.01
Pokmon Trozei!,72.85,2014-10-25,AO (Adults Only),False,Aventura,2023-07-06,False,1.41
Need for Speed: Most Wanted,89.28,2023-10-28,E (Everyone),False,FPS,2017-07-10,False,1.05
Mega Man Maverick Hunter X,86.46,2017-05-15,T (Teen),True,Estrategia,2017-08-06,False,3.35
Metroid Prime Pinball,32.22,2024-02-14,E (Everyone),False,Aventura,2023-01-10,True,3.51
NBA 06,48.05,2020-01-16,E10+ (Everyone 10 and Older),False,Action,2014-11-12,False,4.83
GUN ,73.25,2019-07-14,E10+ (Everyone 10 and Older),False,MOBA,2021-11-10,True,4.97
NBA 2K6 ,88.52,2021-02-09,EC (Early Childhood),True,Action,2015-01-19,False,1.36
Pinball Hall of Fame: The Gottlieb Collection,80.92,2023-01-21,AO (Adults Only),True,Multiplayer,2022-11-05,False,2.44
Harry Potter and the Goblet of Fire,31.24,2022-11-19,E10+ (Everyone 10 and Older),True,RPG,2014-12-06,True,3.03
Tony Hawk's American Sk8land,13.77,2019-03-22,T (Teen),False,RPG,2023-04-10,False,1.7
MVP Baseball,79.62,2016-01-20,E (Everyone),False,Estrategia,2023-04-07,True,1.5
Tiger Woods PGA Tour,67.9,2016-10-10,T (Teen),True,MMORPG,2021-01-20,True,3.69
World Series of Poker,15.78,2019-05-28,RP (Rating Pending),True,Aventura,2018-04-12,True,1.19
SSX on Tour,72.19,2017-09-07,E10+ (Everyone 10 and Older),True,Aventura,2016-10-29,False,3.17
Tiger Woods PGA Tour 06,59.56,2021-12-20,E (Everyone),True,MOBA,2023-11-06,True,2.19
Death Jr.,48.37,2015-11-16,E10+ (Everyone 10 and Older),False,MOBA,2022-04-19,False,4.4
Harry Potter and the Goblet of Fire,88.61,2021-02-23,E10+ (Everyone 10 and Older),False,FPS,2019-01-05,False,3.86
MediEvil Resurrection,61.75,2016-04-22,AO (Adults Only),True,Action,2015-07-23,False,3.07
"The Chronicles of Narnia: The Lion, the Witch a...",32.95,2015-01-04,AO (Adults Only),False,Action,2016-04-26,True,4.28
Shrek SuperSlam,91.54,2020-09-23,T (Teen),False,Aventura,2021-06-07,False,2.49
Virtua Tennis: World Tour,11.88,2014-11-28,AO (Adults Only),False,Estrategia,2020-11-15,True,1.03
Prince of Persia: Revelations,57.56,2023-12-07,T (Teen),False,MOBA,2019-12-08,False,2.22
Burnout Legends,69.83,2014-11-25,E10+ (Everyone 10 and Older),True,Estrategia,2016-04-11,False,1.46
Meteos,10.93,2024-01-08,T (Teen),True,RPG,2024-04-02,False,1.24
Spyro: Shadow Legacy,64.87,2015-04-25,E10+ (Everyone 10 and Older),True,Multiplayer,2022-06-16,False,3.27
The Con,15.13,2018-02-21,T (Teen),True,Aventura,2016-07-29,False,3.73
Infected,54.16,2020-03-04,AO (Adults Only),True,Aventura,2017-06-07,True,2.19
Pursuit Force,31.09,2022-07-13,T (Teen),True,FPS,2015-07-05,False,4.33
Kingdom of Paradise,44.3,2016-12-25,E10+ (Everyone 10 and Older),True,Aventura,2019-09-18,False,2.35
Dragon Ball Z: Supersonic Warriors 2,33.11,2016-11-02,E (Everyone),False,MMORPG,2021-07-04,False,1.76
Dragon Quest Heroes: Rocket Slime,62.04,2021-06-30,RP (Rating Pending),True,Estrategia,2020-07-06,False,2.89
Dead to Rights: Reckoning,51.23,2017-08-23,E (Everyone),False,RPG,2014-11-19,True,3.86
Amped 3,25.52,2017-12-06,EC (Early Childhood),True,Estrategia,2015-10-27,False,4.51
Break 'em All,44.99,2017-10-04,E10+ (Everyone 10 and Older),True,Action,2021-03-20,False,2.43
Lunar: Dragon Song,25.91,2017-02-17,E (Everyone),True,MOBA,2015-05-13,False,2.29
Madden NFL 06,83.31,2023-02-26,E (Everyone),True,MMORPG,2017-07-20,False,4.13
Retro Atari Classics,69.45,2021-07-30,E10+ (Everyone 10 and Older),True,Aventura,2021-06-26,True,3.33
True Swing Golf,88.02,2022-09-25,E (Everyone),False,Aventura,2022-05-26,True,4.25
FIFA Soccer,17.25,2015-03-23,E10+ (Everyone 10 and Older),True,Aventura,2017-12-13,False,3.26
Metal Gear Ac!d 2,65.42,2017-01-31,M (Mature),True,MOBA,2023-07-29,True,2.92
ATV Quad Frenzy,96.52,2015-07-18,M (Mature),True,MOBA,2018-12-07,True,4.29
Bomberman,87.88,2015-06-07,EC (Early Childhood),False,RPG,2020-05-26,True,1.97
GoldenEye: Rogue Agent,47.98,2021-12-02,EC (Early Childhood),True,MOBA,2024-02-02,False,1.84
Need for Speed Underground 2,70.09,2015-03-11,M (Mature),False,Aventura,2022-03-01,True,3.16
Frogger: Helmet Chaos,93.97,2015-09-18,E (Everyone),True,Action,2015-09-01,False,3.11
The Lord of the Rings: Tactics,52.01,2018-01-09,E (Everyone),True,MOBA,2022-06-29,True,4.88
Rengoku: The Tower of Purgatory,90.5,2016-07-05,RP (Rating Pending),False,MOBA,2022-01-01,False,3.58
Gretzky NHL,32.49,2020-03-17,T (Teen),True,Multiplayer,2021-09-22,False,1.99
Ridge Racer 6,60.43,2020-03-31,EC (Early Childhood),False,Multiplayer,2015-05-13,False,1.29
Ford Racing 3,52.98,2020-08-23,EC (Early Childhood),False,Estrategia,2023-03-08,True,2.51
NHL 2K6 ,42.6,2018-05-18,AO (Adults Only),True,MOBA,2022-11-25,True,4.88
Bust-a-Move DS,16.83,2020-07-15,EC (Early Childhood),True,MMORPG,2021-04-30,True,4.75
Battles of Prince of Persia,14.8,2023-11-14,AO (Adults Only),False,Aventura,2022-04-14,True,1.85
GripShift,51.33,2018-06-20,E10+ (Everyone 10 and Older),False,Action,2018-12-10,True,1.54
Marvel Nemesis: Rise of the Imperfects ,35.59,2022-09-20,RP (Rating Pending),True,RPG,2020-10-10,False,3.03
Scooby-Doo! Unmasked,51.08,2023-11-25,RP (Rating Pending),False,FPS,2017-04-17,False,3.96
Viewtiful Joe: Double Trouble!,52.71,2017-06-09,T (Teen),True,MMORPG,2017-08-04,True,1.73
The Legend of Heroes: A Tear of Vermillion,13.18,2017-09-26,M (Mature),False,Action,2015-02-04,False,4.34
PQ: Practical Intelligence Quotient,58.17,2021-11-28,EC (Early Childhood),True,RPG,2017-09-17,True,2.92
Lost in Blue,63.24,2020-05-24,AO (Adults Only),False,Multiplayer,2021-05-29,True,1.37
Ghost in the Shell: Stand Alone Complex,82.86,2018-02-07,E10+ (Everyone 10 and Older),False,Aventura,2015-04-15,False,1.14
Dig Dug: Digging Strike,77.11,2014-05-01,AO (Adults Only),True,MOBA,2021-01-10,True,1.84
Frogger: Helmet Chaos,50.56,2021-03-14,EC (Early Childhood),True,Multiplayer,2018-12-22,True,2.44
Mega Man Battle Network 5: Double Team DS,58.67,2023-08-31,AO (Adults Only),False,MOBA,2016-11-06,False,4.31
Nanostray,63.49,2023-07-15,M (Mature),False,Estrategia,2023-06-03,False,4.37
Sega Casino,92.61,2021-07-16,E10+ (Everyone 10 and Older),False,FPS,2023-01-11,False,4.1
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,51.65,2022-08-25,EC (Early Childhood),False,MMORPG,2015-09-15,False,4.5
Pac-Man World 3,80.29,2018-05-05,RP (Rating Pending),True,MOBA,2016-02-02,True,1.27
Tokobot,24.09,2021-11-26,T (Teen),True,Multiplayer,2023-05-14,True,1.36
Fullmetal Alchemist: Dual Sympathy,89.92,2014-08-31,AO (Adults Only),False,RPG,2022-09-27,False,3.17
Exit,60.52,2022-02-07,M (Mature),False,MMORPG,2017-01-06,True,2.07
Bubble Bobble Revolution,45.16,2023-03-21,E10+ (Everyone 10 and Older),False,Aventura,2018-07-14,True,1.41
The Rub Rabbits!,43.3,2017-05-07,AO (Adults Only),True,Multiplayer,2015-08-02,False,1.43
Electroplankton,56.95,2021-07-12,T (Teen),False,MMORPG,2023-06-17,False,1.51
LifeSigns: Surgical Unit,84.14,2021-10-03,RP (Rating Pending),True,Multiplayer,2021-12-28,True,1.26
Space Invaders Revolution,29.9,2023-04-29,EC (Early Childhood),False,MMORPG,2014-09-18,True,4.88
Wii Play,28.58,2018-06-17,EC (Early Childhood),False,RPG,2015-01-01,True,1.36
New Super Mario Bros.,64.83,2022-09-27,M (Mature),False,MMORPG,2022-07-19,False,3.27
Pokmon Diamond,39.69,2024-03-21,AO (Adults Only),True,FPS,2022-06-15,True,4.3
Pokmon Pearl,61.47,2021-08-23,AO (Adults Only),False,Estrategia,2016-04-23,True,2.34
Gears of War,69.38,2023-03-01,E (Everyone),True,FPS,2016-10-16,False,3.55
The Legend of Zelda: Twilight Princess,10.23,2018-05-21,E10+ (Everyone 10 and Older),True,Multiplayer,2021-09-13,True,2.32
Cooking Mama,35.47,2017-11-20,E10+ (Everyone 10 and Older),True,Multiplayer,2023-08-07,False,4.89
Marvel Ultimate Alliance,76.79,2022-09-19,AO (Adults Only),True,FPS,2016-03-05,True,2.75
Daxter,60.41,2021-08-01,AO (Adults Only),True,Action,2020-04-29,False,4.64
The Elder Scrolls IV: Oblivion,93.81,2014-06-30,EC (Early Childhood),True,Action,2014-07-02,False,2.62
Madden NFL 07,51.77,2016-03-07,M (Mature),True,Multiplayer,2019-09-20,False,4.73
Grand Theft Auto: Vice City Stories,36.97,2020-08-06,E (Everyone),True,FPS,2015-07-23,True,2.22
Resistance: Fall of Man,93.42,2016-01-30,E (Everyone),True,RPG,2015-03-17,False,2.7
MotorStorm,48.64,2019-02-13,E10+ (Everyone 10 and Older),False,Estrategia,2021-03-14,True,4.01
Call of Duty 3,76.25,2014-07-28,M (Mature),False,Aventura,2018-05-25,True,3.04
Yoshi's Island DS,45.09,2019-07-14,E (Everyone),False,Multiplayer,2020-09-14,False,4.46
Tom Clancy's Ghost Recon: Advanced Warfighter,61.88,2017-10-17,E10+ (Everyone 10 and Older),False,Action,2015-12-02,False,4.19
Fight Night Round 3,68.74,2017-08-14,T (Teen),False,MOBA,2016-05-30,False,4.32
Pokmon Ranger,15.58,2019-01-20,AO (Adults Only),False,FPS,2016-01-11,False,3.85
Rayman Raving Rabbids,31.51,2020-06-22,AO (Adults Only),True,MOBA,2020-03-12,False,2.71
Saints Row,30.91,2016-04-08,AO (Adults Only),False,FPS,2017-01-03,True,3.57
Tom Clancy's Rainbow Six: Vegas,25.37,2018-01-02,AO (Adults Only),True,FPS,2017-04-06,False,3.07
Dead Rising,52.3,2017-01-14,E (Everyone),False,RPG,2022-12-24,True,4.57
Call of Duty 3,76.98,2018-06-10,E10+ (Everyone 10 and Older),False,Action,2019-08-14,True,4.14
Lost Planet: Extreme Condition,89.13,2022-11-30,M (Mature),False,Aventura,2015-05-07,True,3.59
Mario Hoops 3 on 3,62.49,2018-03-17,AO (Adults Only),False,Multiplayer,2017-10-03,True,3.23
LEGO Star Wars II: The Original Trilogy,86.23,2020-10-08,T (Teen),True,Estrategia,2021-09-12,True,3.6
Super Monkey Ball: Banana Blitz,79.04,2014-11-08,EC (Early Childhood),True,Multiplayer,2015-11-09,True,1.64
The Sims 2: Pets,56.05,2015-12-13,EC (Early Childhood),True,MMORPG,2020-12-21,True,1.21
Need for Speed: Carbon - Own the City,23.78,2016-08-13,EC (Early Childhood),True,Action,2019-06-15,True,3.39
WarioWare: Smooth Moves,17.79,2016-07-15,M (Mature),False,Estrategia,2022-09-01,True,2.25
Fight Night Round 3,73.92,2023-04-09,M (Mature),True,Estrategia,2019-06-05,True,2.23
Final Fantasy III,54.52,2014-07-06,AO (Adults Only),False,Estrategia,2021-12-07,True,3.81
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,80.34,2019-05-18,EC (Early Childhood),False,MMORPG,2019-08-12,False,1.51
Madden NFL 07,81.16,2016-12-05,EC (Early Childhood),True,MMORPG,2020-01-17,True,3.03
Monster 4x4: World Circuit,62.15,2024-03-07,EC (Early Childhood),True,Action,2020-07-01,False,1.56
Kirby: Squeak Squad,77.99,2024-02-28,M (Mature),False,MOBA,2021-12-27,True,4.76
Pokmon Battle Revolution,70.88,2014-05-08,M (Mature),True,Aventura,2017-01-17,True,3.73
Medal of Honor: Heroes,95.01,2019-10-06,EC (Early Childhood),True,FPS,2020-06-26,False,3.04
Tekken: Dark Resurrection,20.96,2015-09-08,E10+ (Everyone 10 and Older),False,Estrategia,2014-10-14,False,4.57
Need for Speed: Carbon,79.03,2015-10-16,AO (Adults Only),False,MMORPG,2015-10-06,True,2.96
Mario vs. Donkey Kong 2: March of the Minis,27.84,2015-05-13,E10+ (Everyone 10 and Older),True,Estrategia,2019-04-19,False,2.83
Sonic Rivals,10.23,2018-03-25,E (Everyone),True,Action,2015-12-13,True,1.87
NCAA Football 07,14.94,2017-11-14,E (Everyone),True,FPS,2014-05-19,True,3.52
Mortal Kombat: Unchained,77.42,2021-01-10,AO (Adults Only),True,Estrategia,2024-01-02,True,4.35
Tom Clancy's Splinter Cell: Double Agent,83.3,2018-11-29,RP (Rating Pending),True,Multiplayer,2021-11-30,False,2.74
Tetris DS,22.08,2023-05-07,E10+ (Everyone 10 and Older),True,Multiplayer,2022-11-15,True,2.98
LEGO Star Wars II: The Original Trilogy,38.21,2019-08-07,RP (Rating Pending),True,Aventura,2022-12-12,True,1.17
Red Steel,30.57,2017-08-28,T (Teen),False,MMORPG,2022-04-03,False,2.77
Metroid Prime: Hunters,50.57,2024-03-25,RP (Rating Pending),True,RPG,2019-05-04,True,2.89
LEGO Star Wars II: The Original Trilogy,97.89,2023-08-01,M (Mature),True,Estrategia,2022-05-20,True,4.17
NBA 2K7 ,15.75,2019-12-22,E10+ (Everyone 10 and Older),False,MOBA,2015-03-23,True,3.42
SEGA Genesis Collection,96.13,2018-09-14,T (Teen),False,Aventura,2019-05-26,False,1.69
Call of Duty 3,31.32,2019-05-04,AO (Adults Only),True,RPG,2024-04-14,False,3.71
NBA Live 07,86.09,2022-10-06,E10+ (Everyone 10 and Older),False,Aventura,2016-08-10,True,3.75
Madden NFL 07,74.28,2017-01-12,RP (Rating Pending),False,Action,2016-02-17,False,1.41
SpongeBob SquarePants: The Yellow Avenger,19.76,2022-10-01,T (Teen),False,MMORPG,2019-07-18,False,1.87
Madden NFL 07,16.42,2016-10-22,E (Everyone),True,MOBA,2016-08-22,True,4.66
Fight Night Round 3,91.69,2022-06-13,AO (Adults Only),True,FPS,2017-05-17,False,3.37
Need for Speed: Carbon,33.4,2019-03-12,E (Everyone),False,MOBA,2020-04-14,True,3.14
Need for Speed: Carbon,98.31,2021-10-14,E (Everyone),True,FPS,2019-05-25,False,1.16
WWE SmackDown vs. Raw 2007,18.6,2017-03-23,EC (Early Childhood),False,MMORPG,2019-11-28,False,2.02
Tiger Woods PGA Tour 07,52.0,2023-06-29,T (Teen),False,MOBA,2020-12-05,True,4.05
Viva Pi$?ata,81.14,2019-04-21,AO (Adults Only),False,Estrategia,2020-12-28,True,2.55
SpongeBob Squarepants: Creature from the Krusty Krab,98.77,2016-10-24,AO (Adults Only),False,FPS,2022-04-22,False,3.18
Tony Hawk's Project 8,59.75,2022-08-08,T (Teen),False,FPS,2021-01-29,True,1.17
Tony Hawk's Project 8,40.55,2018-05-16,E10+ (Everyone 10 and Older),True,FPS,2023-07-08,False,2.87
NBA LIVE 07 ,91.38,2016-01-21,RP (Rating Pending),False,MMORPG,2022-05-22,True,4.1
Excite Truck,85.88,2019-09-03,RP (Rating Pending),True,Estrategia,2024-01-09,False,4.98
Harvest Moon DS,31.5,2014-08-27,M (Mature),False,Estrategia,2024-03-24,False,2.25
Star Fox Command,94.25,2023-05-12,RP (Rating Pending),True,RPG,2015-07-28,True,4.6
Metal Gear Solid: Portable Ops,87.49,2019-02-02,E (Everyone),True,Action,2017-02-14,False,3.94
Marvel Ultimate Alliance,97.41,2018-12-05,EC (Early Childhood),True,MOBA,2022-04-22,True,3.13
Blazing Angels: Squadrons of WWII,18.11,2014-07-01,EC (Early Childhood),True,Multiplayer,2022-02-07,True,4.6
Major League Baseball 2K6,31.9,2019-12-23,E (Everyone),False,MMORPG,2021-03-09,True,2.92
NCAA Football 07,42.41,2019-05-24,EC (Early Childhood),True,MOBA,2017-07-30,True,1.05
MLB 06: The Show,14.25,2020-10-27,EC (Early Childhood),False,MMORPG,2017-11-07,False,3.47
Blazing Angels: Squadrons of WWII,89.54,2022-05-29,M (Mature),False,Action,2018-01-18,False,4.25
WWE SmackDown vs. Raw 2007,82.01,2016-06-12,RP (Rating Pending),True,MMORPG,2023-07-30,False,4.39
Rune Factory: A Fantasy Harvest Moon,47.39,2019-09-29,E (Everyone),True,Estrategia,2021-11-22,False,4.87
Marvel Ultimate Alliance,52.67,2015-04-19,E10+ (Everyone 10 and Older),False,Aventura,2018-10-07,False,2.68
Marvel Ultimate Alliance,39.41,2021-02-26,E10+ (Everyone 10 and Older),False,Aventura,2022-03-11,True,3.54
Tiger Woods PGA Tour 07,33.97,2016-10-16,RP (Rating Pending),False,MOBA,2023-09-09,False,1.48
Ace Combat X: Skies of Deception,93.34,2015-11-10,T (Teen),False,Aventura,2021-08-09,False,1.4
Killzone: Liberation,11.01,2017-04-26,M (Mature),False,Aventura,2015-10-07,False,2.01
F.E.A.R.: First Encounter Assault Recon,66.26,2019-10-06,E (Everyone),False,FPS,2019-08-28,True,1.85
NBA 2K7,25.72,2015-11-11,M (Mature),True,RPG,2016-02-11,False,3.87
Tony Hawk's Project 8,22.4,2017-09-19,AO (Adults Only),True,Estrategia,2016-01-17,False,1.09
Avatar: The Last Airbender,90.68,2018-03-24,AO (Adults Only),True,Estrategia,2021-05-30,True,1.92
Castlevania: Portrait of Ruin,34.85,2022-08-10,AO (Adults Only),True,Aventura,2020-07-25,False,2.23
Hitman: Blood Money,15.52,2015-03-10,AO (Adults Only),False,FPS,2017-01-03,True,2.93
Rockstar Games presents Table Tennis,49.22,2018-08-19,M (Mature),True,Multiplayer,2018-09-08,False,3.7
Trauma Center: Second Opinion,88.35,2020-03-15,T (Teen),True,Action,2014-07-14,False,2.18
Tenchu Z,97.27,2021-10-19,M (Mature),True,Multiplayer,2023-09-13,False,2.77
Elite Beat Agents,11.2,2019-07-22,EC (Early Childhood),True,MOBA,2015-01-22,True,2.65
Street Fighter Alpha 3 MAX,16.03,2022-11-09,E (Everyone),False,RPG,2014-05-23,False,3.55
Blue Dragon,10.58,2015-12-08,EC (Early Childhood),False,Action,2018-11-08,False,3.86
The Lord of the Rings: The Battle for Middle Ea...,10.96,2015-05-18,E (Everyone),False,Aventura,2016-11-19,True,3.18
Prey,68.41,2023-03-25,RP (Rating Pending),True,MOBA,2018-12-25,True,1.14
Over the Hedge,19.19,2022-09-11,RP (Rating Pending),True,MMORPG,2019-07-04,True,2.09
Capcom Classics Collection Reloaded,20.1,2018-03-25,E (Everyone),False,MMORPG,2021-05-04,True,4.81
Pirates of the Caribbean: Dead Man's Chest,74.59,2022-08-07,E (Everyone),True,Estrategia,2016-07-25,False,4.78
NHL 07 ,63.49,2022-06-17,E10+ (Everyone 10 and Older),False,Aventura,2017-10-06,False,4.54
Monster Hunter Freedom,27.06,2024-01-05,E (Everyone),False,MOBA,2022-05-10,True,3.78
Chromehounds,21.55,2014-06-25,EC (Early Childhood),False,Estrategia,2016-08-24,True,3.17
